Player_Batch_Number,Player_Crawl_Address,Player_Initial_Letter,Player_Name,Number_of_Times_NBA_All_Team
1,jokicni01,j,Nikola Jokic,1
2,embiijo01,e,Joel Embiid,2
3,goberru01,g,Rudy Gobert,2
4,davisan02,d,Anthony Davis,3
5,townska01,t,Karl-Anthony Towns,1
6,jordade01,j,DeAndre Jordan,3
7,couside01,c,DeMarcus Cousins,2
8,drumman01,d,Andre Drummond,1
9,gasolma01,g,Marc Gasol,2
10,noahjo01,n,Joakim Noah,1
11,howardw01,h,Dwight Howard,8
12,jeffeal01,j,Al Jefferson,1
13,duncati01,d,Tim Duncan,15
14,bynuman01,b,Andrew Bynum,1
15,chandty01,c,Tyson Chandler,1
16,stoudam01,s,Amar'e Stoudemire,5
17,horfoal01,h,Al Horford,1
18,bogutan01,b,Andrew Bogut,1
19,mingya01,m,Yao Ming,5
20,onealsh01,o,Shaquille O'Neal,14
21,wallabe01,w,Ben Wallace,5
22,onealje01,o,Jermaine O'Neal,3
23,nowitdi01,n,Dirk Nowitzki,12
24,mutomdi01,m,Dikembe Mutombo,3
25,robinda01,r,David Robinson,10
26,mournal01,m,Alonzo Mourning,2
27,olajuha01,o,Hakeem Olajuwon,11
28,ewingpa01,e,Patrick Ewing,6
29,daughbr01,d,Brad Daugherty,1
30,malonmo01,m,Moses Malone,7
31,abdulka01,a,Kareem Abdul-Jabbar,6
32,parisro01,p,Robert Parish,1
33,antetgi01,a,Giannis Antetokounmpo,3
34,duranke01,d,Kevin Durant,9
35,jamesle01,j,LeBron James,15
36,butleji01,b,Jimmy Butler,2
37,greendr01,g,Draymond Green,2
38,georgpa01,g,Paul George,5
39,gasolpa01,g,Pau Gasol,4
40,griffbl01,g,Blake Griffin,5
41,anthoca01,a,Carmelo Anthony,6
42,aldrila01,a,LaMarcus Aldridge,5
43,garneke01,g,Kevin Garnett,9
44,boozeca01,b,Carlos Boozer,1
45,boshch01,b,Chris Bosh,1
46,brandel01,b,Elton Brand,1
47,mariosh01,m,Shawn Marion,2
48,artesro01,a,Metta World Peace,1
49,mashbja01,m,Jamal Mashburn,1
50,cartevi01,c,Vince Carter,2
51,malonka01,m,Karl Malone,13
52,hillgr01,h,Grant Hill,5
53,bakervi01,b,Vin Baker,2
54,pippesc01,p,Scottie Pippen,7
55,barklch01,b,Charles Barkley,10
56,rodmade01,r,Dennis Rodman,2
57,colemde01,c,Derrick Coleman,2
58,johnsla02,j,Larry Johnson,1
59,mullich01,m,Chris Mullin,3
60,kingbe01,k,Bernard King,4
61,birdla01,b,Larry Bird,10
62,cummite01,c,Terry Cummings,1
63,dantlad01,d,Adrian Dantley,2
64,englial01,e,Alex English,3
65,johnsma01,j,Marques Johnson,2
66,leonaka01,l,Kawhi Leonard,3
67,loveke01,l,Kevin Love,2
68,leeda02,l,David Lee,1
69,randoza01,r,Zach Randolph,1
70,piercpa01,p,Paul Pierce,4
71,mcgratr01,m,Tracy McGrady,7
72,stojape01,s,Peja Stojakovic,1
73,webbech01,w,Chris Webber,5
74,mcdyean01,m,Antonio McDyess,1
75,ricegl01,r,Glen Rice,2
76,masonan01,m,Anthony Mason,1
77,kempsh01,k,Shawn Kemp,3
78,howarju01,h,Juwan Howard,1
79,schrede01,s,Detlef Schrempf,1
80,wilkido01,w,Dominique Wilkins,6
81,willike02,w,Kevin Willis,1
82,worthja01,w,James Worthy,2
83,chambto01,c,Tom Chambers,1
84,mchalke01,m,Kevin McHale,1
85,sampsra01,s,Ralph Sampson,1
86,ervinju01,e,Julius Erving,5
87,willibu01,w,Buck Williams,1
88,roundda01,r,Dan Roundfield,1
89,hardeja01,h,James Harden,6
90,lillada01,l,Damian Lillard,4
91,walkeke01,w,Kemba Walker,1
92,westbru01,w,Russell Westbrook,8
93,curryst01,c,Stephen Curry,6
94,walljo01,w,John Wall,1
95,paulch01,p,Chris Paul,8
96,thompkl01,t,Klay Thompson,2
97,dragigo01,d,Goran Dragic,1
98,bryanko01,b,Kobe Bryant,15
99,parketo01,p,Tony Parker,4
100,rondora01,r,Rajon Rondo,1
101,wadedw01,w,Dwyane Wade,8
102,ginobma01,g,Manu Ginobili,2
103,nashst01,n,Steve Nash,7
104,johnsjo01,j,Joe Johnson,1
105,billuch01,b,Chauncey Billups,3
106,arenagi01,a,Gilbert Arenas,3
107,iversal01,i,Allen Iverson,7
108,allenra01,a,Ray Allen,2
109,cassesa01,c,Sam Cassell,1
110,davisba01,d,Baron Davis,1
111,marbust01,m,Stephon Marbury,2
112,kiddja01,k,Jason Kidd,6
113,jonesed01,j,Eddie Jones,1
114,hardati01,h,Tim Hardaway,5
115,jordami01,j,Michael Jordan,10
116,millere01,m,Reggie Miller,3
117,paytoga01,p,Gary Payton,9
118,hardaan01,h,Anfernee Hardaway,3
119,drexlcl01,d,Clyde Drexler,5
120,sprewla01,s,Latrell Sprewell,1
121,johnske02,j,Kevin Johnson,4
122,dumarjo01,d,Joe Dumars,3
123,johnsma02,j,Magic Johnson,9
124,leverfa01,l,Fat Lever,1
125,moncrsi01,m,Sidney Moncrief,5
126,gervige01,g,George Gervin,4
127,architi01,a,Tiny Archibald,1
128,johnsde01,j,Dennis Johnson,2
129,irvinky01,i,Kyrie Irving,2
130,derozde01,d,DeMar DeRozan,2
131,oladivi01,o,Victor Oladipo,1
132,thomais02,t,Isaiah Thomas,1
133,lowryky01,l,Kyle Lowry,1
134,rosede01,r,Derrick Rose,1
135,willide01,w,Deron Williams,2
136,roybr01,r,Brandon Roy,2
137,reddmi01,r,Michael Redd,1
138,stockjo01,s,John Stockton,10
139,stricro02,s,Rod Strickland,1
140,richmmi01,r,Mitch Richmond,5
141,pricema01,p,Mark Price,3
142,petrodr01,p,Drazen Petrovic,1
143,thomais01,t,Isiah Thomas,5
144,roberal01,r,Alvin Robertson,1
145,paxsoji02,p,Jim Paxson,1
146,willigu01,w,Gus Williams,2
147,birdsot01,b,Otis Birdsong,1
148,westppa01,w,Paul Westphal,1
149,doncilu01,d,Luka Doncic,0
